,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,language,processed_text,words_count
6267,kfbu10oy,b9dc9aa5d1b93da55c2e39080592a5044a98771e,PMC,2009 Pandemic influenza in India,10.1007/s13312-010-0007-4,PMC7097275,20139474,no-cc,"Pandemic-09-H1N1 virus caused the pandemic starting in the second quarter of 2009. The world was prepared to face the pandemic since it was anticipated for over one decade. Most countries, including India, had made detailed pandemic preparedness plans well ahead of its actual occurrence. The infection rapidly spread to the whole country within 2-3 months. The national tactics were to slow down its importation through international air travelers and to slow down its spread in cities and major towns. More than 75% of all infected persons were urban dwellers, suggesting that efforts were concentrated in urban communities. In general the illness of pandemic influenza has been similar to endemic/seasonal influenza; however, there is insufficient epidemiological and clinical data on the latter. We hope that the unprecedented experience of managing the pandemic will encourage the Government of India to plan to confront endemic/seasonal influenza more systematically. The pandemic seems to have reached a peak in September/October and has been on the decline since then.",2010-05-06,"John, T. Jacob; Moorthy, Mahesh",Indian Pediatr,,,,document_parses/pdf_json/b9dc9aa5d1b93da55c2e39080592a5044a98771e.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097275/,,en,pandemic-09-h1n1 virus cause pandemic start 2 quarter 2009 world prepare face pandemic anticipate decade country include india detail pandemic preparedness plan good ahead actual occurrence infection rapidly spread country 2 3 month national tactic slow importation international air traveler slow spread city major town 75 infect person urban dweller suggest effort concentrate urban community general illness pandemic influenza similar endemic/seasonal influenza insufficient epidemiological clinical datum hope unprecedented experience manage pandemic encourage government india plan confront endemic/seasonal influenza systematically pandemic reach peak september/october decline,83
37843,5trwxede,,Medline,Use of parallel grafts to save failed prior endovascular aortic aneurysm repair and type Ia endoleaks.,10.1016/j.jvs.2015.04.395,,26087878,unk,"OBJECTIVE The aim of this study was the evaluation of the clinical and radiologic outcomes of parallel grafts in the treatment of patients with failed prior endovascular aneurysm repair and type Ia endoleak. METHODS Prospectively collected clinical and radiologic data of consecutive patients with prior endovascular aneurysm repair and evidence of type Ia endoleak were analyzed. All patients were treated between January 2009 and November 2014 by use of parallel grafts, ie, chimney/snorkel or periscope grafts and abdominal endovascular devices. Primary outcome of the study was the technical success. Secondary outcomes were patency of the chimney grafts and shrinkage of aneurysm morphology. RESULTS Technical success was 94.4% (17 of 18). One patient showed evidence of persistent type Ia endoleak after triple chimney graft placement and treated by Onyx embolization (Covidien, Plymouth, Minn) successfully. The mean preoperative and postoperative aneurysm diameters were 7.1 ± 1.7 and 7.0 ± 2 cm. Primary patency of the chimney grafts was 96.7% and assisted patency was 100% after successful retrograde recanalization of an acute occlusion of the superior mesenteric artery from the celiac trunk and the gastroduodenal artery. One patient who had undergone the sandwich technique with transfemoral placement of the flexible Viabahn (W. L. Gore & Associates, Flagstaff, Ariz) due to impossible catheterization of the target vessel from the upper extremity presented with contained rupture caused by gutter-associated endoleak and underwent urgent embolization with Onyx successfully. No procedure-related death or open conversion was observed in the entire follow-up period. CONCLUSIONS Use of parallel grafts showed midterm safety and feasibility with low incidence of persistent endoleaks requiring intervention or progression of aneurysm diameter. Reproducible results from other vascular centers will establish the chimney technique in the treatment of type I endoleaks as a viable endovascular modality.",2015,"Donas, Konstantinos P; Telve, Diego; Torsello, Giovanni; Pitoulias, Georgios; Schwindt, Arne; Austermann, Martin",Journal of vascular surgery,,,,,,https://doi.org/10.1016/j.jvs.2015.04.395; https://www.ncbi.nlm.nih.gov/pubmed/26087878/,13246931.0,en,aim study evaluation clinical radiologic outcome parallel graft treatment patient fail prior endovascular aneurysm repair type ia endoleak methods prospectively collect clinical radiologic datum consecutive patient prior endovascular aneurysm repair evidence type ia endoleak analyze patient treat january 2009 november 2014 use parallel graft ie chimney/snorkel periscope graft abdominal endovascular device primary outcome study technical success secondary outcome patency chimney graft shrinkage aneurysm morphology results technical success 94.4 17 18 patient evidence persistent type ia endoleak triple chimney graft placement treat onyx embolization covidien plymouth minn successfully mean preoperative postoperative aneurysm diameter 7.1 ± 1.7 7.0 ± 2 cm primary patency chimney graft 96.7 assist patency 100 successful retrograde recanalization acute occlusion superior mesenteric artery celiac trunk gastroduodenal artery patient undergo sandwich technique transfemoral placement flexible viabahn w. l. gore associates flagstaff ariz impossible catheterization target vessel upper extremity present contain rupture cause gutter-associated endoleak undergo urgent embolization onyx successfully procedure-related death open conversion observe entire follow-up period conclusions use parallel graft midterm safety feasibility low incidence persistent endoleaks require intervention progression aneurysm diameter reproducible result vascular center establish chimney technique treatment type endoleaks viable endovascular modality,187
47062,5w1y5y0h,,Medline,Reducing overcrowding in an emergency department: a pilot study.,10.1590/1806-9282.65.12.1476,,31994629,unk,"OBJECTIVE Exploring the use of forecasting models and simulation tools to estimate demand and reduce the waiting time of patients in Emergency Departments (EDs). METHODS The analysis was based on data collected in May 2013 in the ED of Recanto das Emas, Federal District, Brasil, which uses a Manchester Triage System. A total of 100 consecutive patients were included: 70 yellow (70%) and 30 green (30%). Flow patterns, observed waiting time, and inter-arrival times of patients were collected. Process maps, demand, and capacity data were used to build a simulation, which was calibrated against the observed flow times. What-if analysis was conducted to reduce waiting times. RESULTS Green and yellow patient arrival-time patterns were similar, but inter-arrival times were 5 and 38 minutes, respectively. Wait-time was 14 minutes for yellow patients, and 4 hours for green patients. The physician staff comprised four doctors per shift. A simulation predicted that allocating one more doctor per shift would reduce wait-time to 2.5 hours for green patients, with a small impact in yellow patients' wait-time. Maintaining four doctors and allocating one doctor exclusively for green patients would reduce the waiting time to 1.5 hours for green patients and increase it in 15 minutes for yellow patients. The best simulation scenario employed five doctors per shift, with two doctors exclusively for green patients. CONCLUSION Waiting times can be reduced by balancing the allocation of doctors to green and yellow patients and matching the availability of doctors to forecasted demand patterns. Simulations of EDs' can be used to generate and test solutions to decrease overcrowding.",2019-12-01,"Amorim, Fábio Ferreira; Almeida, Karlo Jozefo Quadros de; Barbalho, Sanderson Cesar Macedo; Balieiro, Vanessa de Amorim Teixeira; Machado Neto, Arnaldo; Dias, Guilherme de Freitas; Santana, Levy Aniceto; Aguiar, Cristhiane Pinheiro Teixeira Gico de; Silva, Cláudia Cardoso Gomes da; Dasu, Sriram",Revista da Associacao Medica Brasileira,,,,,,https://doi.org/10.1590/1806-9282.65.12.1476; https://www.ncbi.nlm.nih.gov/pubmed/31994629/,210945711.0,en,exploring use forecast model simulation tool estimate demand reduce wait time patient emergency departments eds methods analysis base datum collect 2013 ed recanto das emas federal district brasil use manchester triage system total 100 consecutive patient include 70 yellow 70 30 green 30 flow pattern observe wait time inter-arrival time patient collect process map demand capacity datum use build simulation calibrate observe flow time what-if analysis conduct reduce wait time results green yellow patient arrival-time pattern similar inter-arrival time 5 38 minute respectively wait-time 14 minute yellow patient 4 hour green patient physician staff comprise doctor shift simulation predict allocate doctor shift reduce wait-time 2.5 hour green patient small impact yellow patient wait-time maintaining doctor allocate doctor exclusively green patient reduce wait time 1.5 hour green patient increase 15 minute yellow patient simulation scenario employ doctor shift doctor exclusively green patient conclusion waiting time reduce balance allocation doctor green yellow patient match availability doctor forecast demand pattern simulations eds use generate test solution decrease overcrowd,165
142566,bf5rct4q,de71ae7b74fdc75b489351a1ac5a1b98c76ccfc3,Elsevier; Medline; PMC,Shuffling multivariate adaptive regression splines and adaptive neuro-fuzzy inference system as tools for QSAR study of SARS inhibitors,10.1016/j.jpba.2009.07.009,PMC7126869,19665859,els-covid,"Abstract In this work, the inhibitory activity of pyridine N-oxide derivatives against human severe acute respiratory syndrome (SARS) is predicted in terms of quantitative structure–activity relationship (QSAR) models. These models were developed with the aid of multivariate adaptive regression spline (MARS) and adaptive neuro-fuzzy inference system (ANFIS) combined with shuffling cross-validation technique. A shuffling MARS algorithm is utilized to select the most important variables in QSAR modeling and then these variables were used as inputs of ANFIS to predict SARS inhibitory activities of pyridine N-oxide derivatives. A data set of 119 drug-like compounds was coded with over hundred calculated meaningful molecular descriptors. The best descriptors describing the inhibition mechanism were solvation connectivity index, length to breadth ratio, relative negative charge, harmonic oscillator of aromatic index, average molecular weight and total path count. These parameters are among topological, electronic, geometric, constitutional and aromaticity descriptors. The statistical parameters of R 2 and root mean square error (RMSE) are 0.884 and 0.359, respectively. The accuracy and robustness of shuffling MARS–ANFIS model in predicting inhibition behavior of pyridine N-oxide derivatives (pIC50) was illustrated using leave-one-out and leave-multiple-out cross-validation techniques and also by Y-randomization. Comparison of the results of the proposed model with those of GA-PLS-ANFIS shows that the shuffling MARS–ANFIS model is superior and can be considered as a tool for predicting the inhibitory behavior of SARS drug-like molecules.",2009-12-05,"Jalali-Heravi, M.; Asadollahi-Baboli, M.; Mani-Varnosfaderani, A.",Journal of Pharmaceutical and Biomedical Analysis,,,,document_parses/pdf_json/de71ae7b74fdc75b489351a1ac5a1b98c76ccfc3.json,document_parses/pmc_json/PMC7126869.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/19665859/; https://www.sciencedirect.com/science/article/pii/S0731708509004300; https://api.elsevier.com/content/article/pii/S0731708509004300; https://doi.org/10.1016/j.jpba.2009.07.009,159732.0,en,work inhibitory activity pyridine n-oxide derivative human severe acute respiratory syndrome sars predict term quantitative structure – activity relationship qsar model model develope aid multivariate adaptive regression spline mars adaptive neuro-fuzzy inference system anfis combine shuffle cross-validation technique shuffle mars algorithm utilize select important variable qsar model variable use input anfis predict sars inhibitory activity pyridine n-oxide derivative datum set 119 drug-like compound code calculate meaningful molecular descriptor descriptor describe inhibition mechanism solvation connectivity index length breadth ratio relative negative charge harmonic oscillator aromatic index average molecular weight total path count parameter topological electronic geometric constitutional aromaticity descriptor statistical parameter r 2 root mean square error rmse 0.884 0.359 respectively accuracy robustness shuffle mars – anfis model predict inhibition behavior pyridine n-oxide derivative pic50 illustrate use leave-one-out leave-multiple-out cross-validation technique y-randomization comparison result propose model ga-pls-anfis shuffle mars – anfis model superior consider tool predict inhibitory behavior sars drug-like molecule,150
66575,f0aaf1dm,,Medline,Single-port laparoscopic surgery in children: concept and controversies of the new technique.,10.1155/2012/232347,,22778945,unk,"Single-incision laparoscopic surgery (SILS) is emerging as an alternative technique to conventional laparoscopy for the treatment of common surgical diseases. Despite its wide use, the adoption of SILS in children has been slower since the broad application of minimally invasive techniques in children, in general, has historically lagged behind those in adults. This paper reviews the evolution of SILS from its original conception and its application in the field of pediatric surgery.",2012,"Blanco, Felix C; Kane, Timothy D",Minimally invasive surgery,,,,,,https://doi.org/10.1155/2012/232347; https://www.ncbi.nlm.nih.gov/pubmed/22778945/,16681645.0,en,single-incision laparoscopic surgery sils emerge alternative technique conventional laparoscopy treatment common surgical disease despite wide use adoption sils child slow broad application minimally invasive technique child general historically lag adult paper review evolution sils original conception application field pediatric surgery,40
67287,5x8q0mvb,,Medline,A classifier prediction model to predict the status of Coronavirus COVID-19 patients in South Korea.,10.26355/eurrev_202003_20709,,32271458,unk,"OBJECTIVE Coronavirus COVID-19 further transmitted to several countries globally. The status of the infected cases can be determined basing on the treatment process along with several other factors. This research aims to build a classifier prediction model to predict the status of recovered and death coronavirus CovID-19 patients in South Korea. MATERIALS AND METHODS Artificial neural network principle is used to classify the collected data between February 20, 2020 and March 9, 2020. The proposed classifier used different seven variables, namely, country, infection reason, sex, group, confirmation date, birth year, and region. The most effective variables on recovered and fatal cases are analyzed based on the neural network model. RESULTS The results found that the proposed predictive classifier efficiently predicted recovered and death cases. Besides, it is found that discovering the infection reason would increase the probability to recover the patient. This indicates that the virus might be controllable based on infection reasons. In addition, the earlier discovery of the disease affords better control and a higher probability of being recovered. CONCLUSIONS Our recommendation is to use this model to predict the status of the patients globally.",2020-03-01,"Al-Najjar, H; Al-Rousan, N",European review for medical and pharmacological sciences,,,,,,https://doi.org/10.26355/eurrev_202003_20709; https://www.ncbi.nlm.nih.gov/pubmed/32271458/,215602665.0,en,coronavirus covid-19 far transmit country globally status infect case determine base treatment process factor research aim build classifier prediction model predict status recover death coronavirus covid-19 patient south korea materials methods artificial neural network principle use classify collect datum february 20 2020 march 9 2020 propose classifier use different seven variable country infection reason sex group confirmation date birth year region effective variable recover fatal case analyze base neural network model results result find propose predictive classifier efficiently predict recover death case find discover infection reason increase probability recover patient indicate virus controllable base infection reason addition early discovery disease afford control high probability recover conclusions recommendation use model predict status patient globally,113
178900,gv9q7sf1,24195a491e5a12e62c9caa3469b95e462dd2dc5c,Medline; PMC,Presepsin as a predictive biomarker of severity in COVID‐19: a case series,10.1002/jmv.26164,PMC7307131,32530491,no-cc,"Guidelines for the diagnosis and treatment of the novel coronavirus disease 2019 (COVID‐19) present clear criteria, including respiratory rate, hemoglobin oxygen saturation (SaO(2)), and oxygenation indicator (PaO(2)/FiO(2))(1). This article is protected by copyright. All rights reserved.",2020-06-12,"Fukada, Ai; Kitagawa, Yutaro; Matsuoka, Masaru; Sakai, Jun; Imai, Kazuo; Norihito, Tarumoto; Orihara, Yuta; Kawamura, Rieko; Takeuchi, Shinichi; Maesaki, Shigefumi; Maeda, Takuya",J Med Virol,,,,document_parses/pdf_json/24195a491e5a12e62c9caa3469b95e462dd2dc5c.json,,https://doi.org/10.1002/jmv.26164; https://www.ncbi.nlm.nih.gov/pubmed/32530491/,219605765.0,en,guidelines diagnosis treatment novel coronavirus disease 2019 covid‐19 present clear criterium include respiratory rate hemoglobin oxygen saturation sao(2 oxygenation indicator pao(2)/fio(2))(1 article protect right reserve,25
84239,460x3232,,Medline,The spread of pathogens through trade in poultry hatching eggs: overview and recent developments.,,,21809762,unk,"The international trade in poultry hatching eggs could potentially facilitate the global dissemination of poultry disease. Provided the guidelines of the World Organisation for Animal Health (OIE) on breeding flock hygiene are followed, of those avian diseases currently listed by the OlE, only highly pathogenic avian influenza (HPAI), Newcastle disease (ND), and avian mycoplasmosis (caused by Mycoplasma gallisepticum or M. synoviae) should be considered likely to be spread though trade in this commodity. Furthermore, the impact of HPAI and ND on egg production and hatchability will constrain the potential for these agents to be spread by poultry hatching eggs.",2011,"Cobb, S P",Revue scientifique et technique,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/21809762/,32091468.0,en,international trade poultry hatch egg potentially facilitate global dissemination poultry disease provided guideline world organisation animal health oie breed flock hygiene follow avian disease currently list ole highly pathogenic avian influenza hpai newcastle disease nd avian mycoplasmosis cause mycoplasma gallisepticum m. synoviae consider likely spread trade commodity furthermore impact hpai nd egg production hatchability constrain potential agent spread poultry hatch egg,61
31460,rwz6f2wu,,Medline,Outcomes of a novel intrathoracic esophagogastric anastomotic technique.,10.1016/j.jtcvs.2018.05.088,,30033105,unk,"OBJECTIVES Anastomotic complications represent a significant source of morbidity and occasionally mortality after esophagectomy. Since 2009, we have used a novel ""side-to-side: staple line-on-staple line"" (STS) technique for intrathoracic esophagogastric anastomoses, designed to create a wide-diameter esophagogastric anastomosis while preserving stomach conduit blood supply. In this study, we describe the technique and review outcomes of our institution's initial 6-year experience. METHODS An institutional database query identified 278 consecutive patients who underwent Ivor Lewis esophagogastrectomy using an STS esophagogastric anastomotic technique from 2009 through 2015. A retrospective review was conducted to assess outcomes with a focus on anastomotic complications. RESULTS There were a total of 8 (2.9%) anastomotic leaks in patients who underwent STS esophagogastric anastomosis, 3 of which were grade I/II leaks and required no intervention. There was a leak rate of 6.3% (2 of 32) after esophagectomy for benign conditions (both leaks occurring in 8 total patients (25%) who received surgery for end-stage achalasia) compared with a 2.4% leak rate (6 of 246) in whom esophagectomy was performed for malignancy (P = .22). Fourteen patients (5.0%) required a median of 2 dilatations for anastomotic stricture after STS anastomosis. Supplemental jejunostomy feedings were required in only 11.1% of these patients after hospital discharge. CONCLUSIONS We believe this novel STS technique provides excellent results with respect to the incidence of intrathoracic esophagogastric anastomotic leak and stricture after esophagectomy. Additionally this technique has significantly reduced the need for enteral feeding after hospital discharge.",2018,"Kesler, Kenneth A; Ramchandani, Neal K; Jalal, Shadia I; Stokes, Samatha M; Mankins, Mark R; Ceppa, DuyKhanh; Birdas, Thomas J; Vardas, Panos N; Rieger, Karen M",The Journal of thoracic and cardiovascular surgery,,,,,,https://doi.org/10.1016/j.jtcvs.2018.05.088; https://www.ncbi.nlm.nih.gov/pubmed/30033105/,51709098.0,en,objectives anastomotic complication represent significant source morbidity occasionally mortality esophagectomy 2009 use novel side-to-side staple line-on-staple line sts technique intrathoracic esophagogastric anastomosis design create wide-diameter esophagogastric anastomosis preserve stomach conduit blood supply study describe technique review outcome institution initial 6-year experience methods institutional database query identify 278 consecutive patient undergo ivor lewis esophagogastrectomy use sts esophagogastric anastomotic technique 2009 2015 retrospective review conduct assess outcome focus anastomotic complication results total 8 2.9 anastomotic leak patient undergo sts esophagogastric anastomosis 3 grade i/ii leak require intervention leak rate 6.3 2 32 esophagectomy benign condition leak occur 8 total patient 25 receive surgery end-stage achalasia compare 2.4 leak rate 6 246 esophagectomy perform malignancy p .22 fourteen patient 5.0 require median 2 dilatation anastomotic stricture sts anastomosis supplemental jejunostomy feeding require 11.1 patient hospital discharge conclusions believe novel sts technique provide excellent result respect incidence intrathoracic esophagogastric anastomotic leak stricture esophagectomy additionally technique significantly reduce need enteral feed hospital discharge,158
122369,wrv9e63g,,WHO,COVID-19 in Yemen: a crisis within crises,,,,unk,"Yemen is suffering deadly airstrikes and heavy bombardment since March 2015 which has created one of the most severe humanitarian crises worldwide. In this miserable situation, several communicable diseases have massively re-emerged including cholera, diarrhea, dengue, and measles, as a result of weapons used during the years of war according to geospatial patterns of the infected cases. According to the world health organization (WHO), only 51% of health care facilities across the country are fully functional, mainly due to the war. The fragile health system has extremely limited capacity to adopt and implement effective preparedness and response measures to the COVID-19 outbreak. The first and most imperative step to combat COVID-19 in Yemen is ending the devastating war without delay and terminating the land, sea and air blockade imposed by the coalition. International humanitarian organizations should also dedicate a high level joint action to implement a series of well-coordinated measures emphasizing both whole-of-government and whole-of-society approach to protect Yemenis' right in life and health.",2020,"Mousavi, Seyyed Meysam; Anjomshoa, Mina",Int J Equity Health,,#638800,,,,,220462712.0,en,yemen suffer deadly airstrike heavy bombardment march 2015 create severe humanitarian crisis worldwide miserable situation communicable disease massively re-emerge include cholera diarrhea dengue measle result weapon use year war accord geospatial pattern infect case according world health organization 51 health care facility country fully functional mainly war fragile health system extremely limit capacity adopt implement effective preparedness response measure covid-19 outbreak ﻿1 imperative step combat covid-19 yemen end devastate war delay terminate land sea air blockade impose coalition international humanitarian organization dedicate high level joint action implement series well-coordinated measure emphasize whole-of-government whole-of-society approach protect yemeni right life health,99
